City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
172,Diffa,NE,2021-10-31 18:11:32,13.3154,12.6113,86.94,17,45,7.07
173,Newcastle,AU,2021-10-31 18:09:09,-32.9272,151.7765,56.71,87,86,2.3
174,Kabalo,CD,2021-10-31 18:11:33,-6.05,26.9167,72.54,92,93,3.04
175,Mount Gambier,AU,2021-10-31 18:10:49,-37.8333,140.7667,40.91,93,75,0.0
176,Hithadhoo,MV,2021-10-31 18:11:34,-0.6,73.0833,82.49,76,100,17.74
177,Klyuchi,RU,2021-10-31 18:11:34,52.2667,79.1667,27.55,77,76,13.44
178,Cabo San Lucas,MX,2021-10-31 18:11:18,22.8909,-109.9124,87.62,63,4,3.0
179,Leh,IN,2021-10-31 18:11:35,34.1667,77.5833,26.69,54,100,2.57
180,Lithakia,GR,2021-10-31 18:11:35,37.7167,20.8333,63.59,88,20,0.0
181,Chistogorskiy,RU,2021-10-31 18:11:51,53.9835,87.3843,34.29,89,100,14.58
182,Hilo,US,2021-10-31 18:08:08,19.7297,-155.09,76.24,73,1,5.75
183,Klaksvik,FO,2021-10-31 18:11:52,62.2266,-6.589,40.12,67,99,3.09
184,Raga,SS,2021-10-31 18:11:53,8.4596,25.678,81.57,51,71,4.85
185,Kapaa,US,2021-10-31 18:09:00,22.0752,-159.319,75.18,89,1,5.75
186,Port Macquarie,AU,2021-10-31 18:11:53,-31.4333,152.9167,56.89,81,44,5.73
187,New Norfolk,AU,2021-10-31 18:11:54,-42.7826,147.0587,54.91,57,100,5.01
188,Vila Velha,BR,2021-10-31 18:10:32,-20.3297,-40.2925,76.95,78,90,12.66
189,Kitwe,ZM,2021-10-31 18:11:55,-12.7961,28.2477,79.83,40,99,2.86
190,Solnechnyy,RU,2021-10-31 18:11:55,50.7214,136.6319,24.66,67,1,1.34
191,Chodavaram,IN,2021-10-31 18:11:56,17.8333,82.95,78.64,92,58,2.89
192,Leningradskiy,RU,2021-10-31 18:11:56,69.3833,178.4167,0.79,93,100,9.93
193,Yulara,AU,2021-10-31 18:11:57,-25.2406,130.9889,64.24,88,90,5.75
194,Vanavara,RU,2021-10-31 18:11:57,60.34,102.2797,22.95,61,100,4.81
195,Vung Tau,VN,2021-10-31 18:07:53,10.346,107.0843,81.16,81,82,16.46
196,Banda Aceh,ID,2021-10-31 18:11:58,5.5577,95.3222,78.98,83,98,2.08
197,Lagoa,PT,2021-10-31 18:11:58,39.05,-27.9833,69.51,87,98,11.65
198,Sao Miguel Do Tapuio,BR,2021-10-31 18:11:59,-5.5036,-41.3233,87.46,46,87,8.39
199,Ahipara,NZ,2021-10-31 18:12:00,-35.1667,173.1667,55.4,78,95,9.57
200,Jangaon,IN,2021-10-31 18:12:00,17.7167,79.1833,71.92,69,91,7.23
201,Nizhniy Baskunchak,RU,2021-10-31 18:12:04,48.2198,46.8311,46.42,65,0,4.81
202,Woodward,US,2021-10-31 18:12:04,36.4337,-99.3904,57.96,48,1,17.27
203,Kodiak,US,2021-10-31 18:12:05,57.79,-152.4072,45.91,87,90,14.97
204,Sungaipenuh,ID,2021-10-31 18:12:06,-2.0833,101.3833,66.13,96,100,0.65
205,Rockhampton,AU,2021-10-31 18:12:07,-23.3833,150.5,69.69,68,90,10.36
206,Selishche,RU,2021-10-31 18:12:07,56.8879,33.2691,43.2,77,4,10.02
207,Iquitos,PE,2021-10-31 18:12:08,-3.7481,-73.2472,89.64,66,75,3.44
208,Carutapera,BR,2021-10-31 18:12:09,-1.195,-46.02,83.28,77,20,6.33
209,Dingle,PH,2021-10-31 18:12:09,10.9995,122.6711,75.27,88,95,7.18
210,Jamame,SO,2021-10-31 18:12:10,0.0722,42.7506,78.15,83,63,11.63
211,Galle,LK,2021-10-31 18:12:11,6.0367,80.217,79.02,85,76,8.05
212,Codrington,AU,2021-10-31 18:12:11,-38.2667,141.9667,43.77,92,7,4.45
213,Auray,FR,2021-10-31 18:12:12,47.6703,-2.9918,55.78,78,13,21.18
214,Igrim,RU,2021-10-31 18:12:13,63.1906,64.4162,17.8,86,100,8.01
215,Port-Gentil,GA,2021-10-31 18:12:13,-0.7193,8.7815,78.3,84,96,11.77
216,Wanxian,CN,2021-10-31 18:12:14,30.8039,108.3897,60.78,92,100,3.76
217,Rocha,UY,2021-10-31 18:12:14,-34.4833,-54.3333,74.35,71,99,6.93
218,Gladstone,AU,2021-10-31 18:12:15,-23.85,151.25,69.73,64,90,8.05
219,Flinders,AU,2021-10-31 18:12:16,-34.5833,150.8552,57.38,79,8,1.01
220,San Jeronimo,PE,2021-10-31 18:12:16,-11.9472,-75.2829,64.33,47,40,9.8
221,Ribeira Grande,PT,2021-10-31 18:12:18,38.5167,-28.7,68.4,94,75,9.22
222,Tezu,IN,2021-10-31 18:12:18,27.9167,96.1667,68.09,55,31,2.8
223,Hurricane,US,2021-10-31 18:12:19,37.1753,-113.2899,75.54,27,44,5.3
224,Kavaratti,IN,2021-10-31 18:12:19,10.5669,72.642,82.36,75,97,4.99
225,Vao,NC,2021-10-31 18:12:20,-22.6667,167.4833,70.68,65,33,9.82
226,Sur,OM,2021-10-31 18:12:21,22.5667,59.5289,82.6,55,0,7.18
227,Talcahuano,CL,2021-10-31 18:12:21,-36.7167,-73.1167,62.28,72,75,11.5
228,Tibu,CO,2021-10-31 18:12:37,8.639,-72.7358,85.51,70,95,2.13
229,Pevek,RU,2021-10-31 18:12:20,69.7008,170.3133,-0.56,98,100,3.98
230,Lichuan,CN,2021-10-31 18:12:38,30.3,108.85,48.02,97,100,2.35
231,Sitka,US,2021-10-31 18:12:38,57.0531,-135.33,42.69,75,75,5.75
232,Port Blair,IN,2021-10-31 18:12:39,11.6667,92.75,80.96,79,97,2.42
233,Alta Floresta,BR,2021-10-31 18:12:39,-9.8756,-56.0861,93.31,42,54,2.86
234,Carnarvon,AU,2021-10-31 18:12:40,-24.8667,113.6333,68.07,68,90,20.71
235,Humaita,BR,2021-10-31 18:12:41,-7.5061,-63.0208,93.45,45,71,1.66
236,Evensk,RU,2021-10-31 18:12:41,61.95,159.2333,0.18,78,60,11.43
237,Andijon,UZ,2021-10-31 18:12:42,40.7821,72.3442,48.06,44,85,2.86
238,Severodvinsk,RU,2021-10-31 18:12:42,64.5635,39.8302,41.11,99,100,0.78
239,Lebedinyy,RU,2021-10-31 18:12:42,58.5167,125.5167,21.51,86,100,9.66
240,Naze,JP,2021-10-31 18:12:43,28.3667,129.4833,68.86,81,70,11.14
241,Wuwei,CN,2021-10-31 18:12:44,37.9281,102.6414,41.0,44,75,5.21
242,Provideniya,RU,2021-10-31 18:12:21,64.3833,-173.3,12.25,79,81,8.41
243,San Andres,CO,2021-10-31 18:12:45,12.5847,-81.7006,86.02,70,75,12.66
244,Alipur,PK,2021-10-31 18:12:45,29.3846,70.9116,75.06,13,0,8.37
245,Saint Anthony,US,2021-10-31 18:12:46,45.0205,-93.218,49.17,53,40,5.01
246,Ilebo,CD,2021-10-31 18:12:46,-4.3167,20.5833,71.8,99,99,2.89
247,Aswan,EG,2021-10-31 18:12:46,24.0934,32.907,88.39,21,100,11.36
248,Cermik,TR,2021-10-31 18:12:47,38.1361,39.4493,55.89,76,100,2.91
249,Puro,PH,2021-10-31 18:12:48,12.4841,123.3827,78.93,78,19,9.33
250,Henties Bay,NA,2021-10-31 18:12:48,-22.116,14.2845,60.85,85,1,9.55
251,Alofi,NU,2021-10-31 18:12:48,-19.0595,-169.9187,76.35,79,81,21.43
252,Matata,NZ,2021-10-31 18:12:49,-37.8833,176.75,55.13,78,100,3.96
253,San Patricio,US,2021-10-31 18:12:49,28.017,-97.5169,87.89,36,0,11.7
254,Kaitangata,NZ,2021-10-31 18:12:53,-46.2817,169.8464,43.25,77,63,8.01
255,Saldanha,ZA,2021-10-31 18:12:53,-33.0117,17.9442,62.62,82,98,7.14
256,Ciro Marina,IT,2021-10-31 18:12:54,39.3732,17.126,56.86,73,31,10.18
257,Faanui,PF,2021-10-31 18:12:55,-16.4833,-151.75,78.6,68,99,14.92
258,Kaeo,NZ,2021-10-31 18:12:55,-35.1,173.7833,54.32,93,98,4.68
259,Sobolevo,RU,2021-10-31 18:12:56,54.4299,31.8996,41.22,80,0,8.28
260,Lazaro Cardenas,MX,2021-10-31 18:09:21,17.9583,-102.2,84.45,68,77,3.13
261,Prince Rupert,CA,2021-10-31 18:08:56,54.3161,-130.3201,43.59,59,52,5.77
262,Iqaluit,CA,2021-10-31 18:12:57,63.7506,-68.5145,36.7,69,69,5.99
263,Grindavik,IS,2021-10-31 18:11:27,63.8424,-22.4338,36.07,75,40,28.77
264,Karsiyang,IN,2021-10-31 18:12:58,26.8825,88.2773,50.95,83,45,3.69
265,Akureyri,IS,2021-10-31 18:10:14,65.6835,-18.0878,33.73,93,90,21.85
266,Teknaf,BD,2021-10-31 18:12:59,20.8624,92.3058,76.06,79,35,7.23
267,Maniitsoq,GL,2021-10-31 18:12:59,65.4167,-52.9,35.87,97,100,17.38
268,Luderitz,NA,2021-10-31 18:13:00,-26.6481,15.1594,61.52,81,39,7.31
269,Nuuk,GL,2021-10-31 18:13:01,64.1835,-51.7216,36.21,93,90,21.85
270,Padang,ID,2021-10-31 18:13:01,-0.9492,100.3543,75.56,94,100,3.22
271,Fort Nelson,CA,2021-10-31 18:13:02,58.8053,-122.7002,33.04,42,10,2.98
272,Robertsport,LR,2021-10-31 18:13:18,6.7533,-11.3686,80.6,81,49,12.08
273,Palani,IN,2021-10-31 18:13:19,10.4667,77.5333,74.93,85,99,2.84
274,Hwange,ZW,2021-10-31 18:13:19,-18.3693,26.5019,92.79,19,57,4.0
275,Oyon,PE,2021-10-31 18:13:20,-10.6681,-76.7731,58.75,51,47,3.29
276,Pombas,CV,2021-10-31 18:13:21,17.1503,-25.0201,78.58,82,99,14.18
277,Itarema,BR,2021-10-31 18:13:22,-2.9248,-39.9167,85.68,63,70,17.47
278,Umba,RU,2021-10-31 18:13:22,66.6871,34.3429,32.14,93,90,10.69
279,Sioux Lookout,CA,2021-10-31 18:13:23,50.1001,-91.917,35.98,100,90,10.36
280,Bourail,NC,2021-10-31 18:13:24,-21.5667,165.4833,68.47,77,2,2.1
281,Bengkulu,ID,2021-10-31 18:13:25,-3.8004,102.2655,76.21,92,100,4.03
282,Kiunga,PG,2021-10-31 18:13:29,-6.1219,141.2906,73.36,100,100,1.77
283,Coihaique,CL,2021-10-31 18:13:29,-45.5752,-72.0662,67.95,26,0,11.5
284,Zomba,MW,2021-10-31 18:13:30,-15.386,35.3188,82.36,35,80,3.49
285,Esperance,AU,2021-10-31 18:13:33,-33.8667,121.9,64.92,55,100,16.28
286,Chuzhou,CN,2021-10-31 18:13:34,32.3219,118.2978,60.46,55,86,3.69
287,Takoradi,GH,2021-10-31 18:13:35,4.8845,-1.7554,79.93,84,93,12.55
288,San Jose,US,2021-10-31 18:12:18,37.3394,-121.895,64.09,67,75,8.05
289,Werda,BW,2021-10-31 18:13:36,-25.2667,23.2833,79.27,16,0,5.57
290,Pavelets,RU,2021-10-31 18:13:37,53.7883,39.246,41.59,79,18,8.43
291,Sehithwa,BW,2021-10-31 18:13:37,-20.4667,22.7167,89.85,17,0,1.83
292,Grand-Santi,GF,2021-10-31 18:13:38,4.25,-54.3833,85.06,65,69,1.48
